# Program:featureCounts v2.0.6; Command:"featureCounts" "--extraAttributes" "Name" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "16" "-a" "reference.gff" "-o" "countsSRR10379724.txt" "SRR10379724_trimmed.bam" 
Geneid	Chr	Start	End	Strand	Length	Name	SRR10379724_trimmed.bam
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	SAOUHSC_00035	929
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	SAOUHSC_00036	1920
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	SAOUHSC_00037	7959
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	SAOUHSC_00038	210
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	SAOUHSC_00039	3251
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	SAOUHSC_00040	33
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	SAOUHSC_00041	420
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	SAOUHSC_00042	950
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	SAOUHSC_00043	248
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	SAOUHSC_00044	743
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	SAOUHSC_00045	292
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	SAOUHSC_00046	454
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	SAOUHSC_00047	464
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	SAOUHSC_00049	2245
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	SAOUHSC_00050	888
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	SAOUHSC_00051	477
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	SAOUHSC_00052	82
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	SAOUHSC_00053	178
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	SAOUHSC_00054	243
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	SAOUHSC_00055	355
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	SAOUHSC_00056	4610
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	SAOUHSC_00057	743
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	SAOUHSC_00058	1178
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	SAOUHSC_00060	2207
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	SAOUHSC_00061	2558
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	SAOUHSC_00062	100
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	SAOUHSC_00064	239
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	SAOUHSC_00065	1610
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	SAOUHSC_00067	5697
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	SAOUHSC_00069	8374
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	SAOUHSC_00070	899
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	SAOUHSC_00071	10404
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	SAOUHSC_00072	310
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	SAOUHSC_00074	693
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	SAOUHSC_00075	94
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	SAOUHSC_00076	182
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	SAOUHSC_00077	418
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	SAOUHSC_00078	259
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	SAOUHSC_00079	444
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	SAOUHSC_00080	630
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	SAOUHSC_00081	313
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	SAOUHSC_00082	498
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	SAOUHSC_00083	375
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	SAOUHSC_A00084	27
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	SAOUHSC_00084	203
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	SAOUHSC_00085	378
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	SAOUHSC_00086	8676
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	SAOUHSC_00087	3
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	SAOUHSC_00088	63
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	SAOUHSC_00089	49
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	SAOUHSC_00090	79
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	SAOUHSC_00091	120
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	SAOUHSC_00092	1073
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	SAOUHSC_00093	1225
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	SAOUHSC_00094	35640
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	SAOUHSC_00096	1473
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	SAOUHSC_A00097	12
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	SAOUHSC_00097	1053
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	SAOUHSC_00099	3123
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	SAOUHSC_00100	5783
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	SAOUHSC_00101	11870
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	SAOUHSC_00102	272
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	SAOUHSC_00103	173
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	SAOUHSC_00104	275
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	SAOUHSC_00105	280
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	SAOUHSC_00106	725
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	SAOUHSC_00107	1720
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	SAOUHSC_00108	5
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	SAOUHSC_00109	43
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	SAOUHSC_00110	46
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	SAOUHSC_00111	55
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	SAOUHSC_00112	361
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	SAOUHSC_00113	8165
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	SAOUHSC_00114	5664
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	SAOUHSC_00115	6518
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	SAOUHSC_00116	6402
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	SAOUHSC_00117	10329
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	SAOUHSC_00118	5216
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	SAOUHSC_00119	4971
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	SAOUHSC_00120	5442
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	SAOUHSC_00121	2460
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	SAOUHSC_00122	3883
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	SAOUHSC_00123	2806
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	SAOUHSC_00124	2020
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	SAOUHSC_00125	4196
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	SAOUHSC_00126	1970
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	SAOUHSC_00127	3743
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	SAOUHSC_00128	4982
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	SAOUHSC_00129	5257
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	SAOUHSC_00130	570
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	SAOUHSC_00131	485
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	SAOUHSC_00132	20716
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	SAOUHSC_00133	1506
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	SAOUHSC_00134	232
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	SAOUHSC_00135	250
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	SAOUHSC_00136	110
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	SAOUHSC_00137	157
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	SAOUHSC_00138	80
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	SAOUHSC_00139	1009
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	SAOUHSC_00141	5318
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	SAOUHSC_00142	397
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	SAOUHSC_00143	2003
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	SAOUHSC_00144	55865
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	SAOUHSC_00145	6985
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	SAOUHSC_00146	3596
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	SAOUHSC_00147	433
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	SAOUHSC_00148	517
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	SAOUHSC_00149	258
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	SAOUHSC_00150	498
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	SAOUHSC_00151	6337
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	SAOUHSC_00152	835
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	SAOUHSC_00153	1443
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	SAOUHSC_00154	10
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	SAOUHSC_00155	12031
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	SAOUHSC_00156	6435
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	SAOUHSC_00157	2309
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	SAOUHSC_00158	3210
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	SAOUHSC_00160	1691
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	SAOUHSC_00161	116
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	SAOUHSC_00162	4243
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	SAOUHSC_00163	2913
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	SAOUHSC_00164	2516
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	SAOUHSC_00166	2667
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	SAOUHSC_00167	625
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	SAOUHSC_00168	338
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	SAOUHSC_00169	147
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	SAOUHSC_00170	317
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	SAOUHSC_00171	979
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	SAOUHSC_00172	427
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	SAOUHSC_00173	1031
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	SAOUHSC_00174	1618
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	SAOUHSC_00175	282
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	SAOUHSC_00176	237
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	SAOUHSC_00177	298
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	SAOUHSC_00178	217
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	SAOUHSC_00179	362
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	SAOUHSC_00180	402
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	SAOUHSC_00181	555
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	SAOUHSC_00182	826
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	SAOUHSC_00183	2141
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	SAOUHSC_00184	519
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	SAOUHSC_00185	891
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	SAOUHSC_00186	686
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	SAOUHSC_00187	108292
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	SAOUHSC_00188	36519
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	SAOUHSC_00189	194
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	SAOUHSC_00190	1510
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	SAOUHSC_00191	4454
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	SAOUHSC_00192	5598
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	SAOUHSC_00193	310
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	SAOUHSC_00194	110
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	SAOUHSC_00195	778
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	SAOUHSC_00196	1630
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	SAOUHSC_00197	1731
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	SAOUHSC_00198	6882
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	SAOUHSC_00199	22194
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	SAOUHSC_00200	839
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	SAOUHSC_00201	1342
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	SAOUHSC_00202	460
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	SAOUHSC_00203	487
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	SAOUHSC_00204	5733
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	SAOUHSC_00205	23
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	SAOUHSC_00206	123268
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	SAOUHSC_00208	33
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	SAOUHSC_00209	1681
gene-SAOUHSC_00211	CP000253.1	231502	232437	+	936	SAOUHSC_00211	455
gene-SAOUHSC_00212	CP000253.1	232547	232645	+	99	SAOUHSC_00212	0
gene-SAOUHSC_00213	CP000253.1	232776	234872	+	2097	SAOUHSC_00213	392
gene-SAOUHSC_00214	CP000253.1	234857	235324	+	468	SAOUHSC_00214	30
gene-SAOUHSC_00215	CP000253.1	235347	235625	+	279	SAOUHSC_00215	23
gene-SAOUHSC_00216	CP000253.1	235852	237111	+	1260	SAOUHSC_00216	210
gene-SAOUHSC_00217	CP000253.1	237129	238184	+	1056	SAOUHSC_00217	252
gene-SAOUHSC_00218	CP000253.1	238186	238332	+	147	SAOUHSC_00218	18
gene-SAOUHSC_00219	CP000253.1	238356	239399	+	1044	SAOUHSC_00219	476
gene-SAOUHSC_00220	CP000253.1	239969	240643	+	675	SAOUHSC_00220	2342
gene-SAOUHSC_00221	CP000253.1	240636	241661	+	1026	SAOUHSC_00221	2837
gene-SAOUHSC_A00219	CP000253.1	241570	241857	-	288	SAOUHSC_A00219	266
gene-SAOUHSC_00222	CP000253.1	241836	243377	+	1542	SAOUHSC_00222	4400
gene-SAOUHSC_00223	CP000253.1	243805	244974	+	1170	SAOUHSC_00223	1614
gene-SAOUHSC_00225	CP000253.1	245250	245966	+	717	SAOUHSC_00225	2886
gene-SAOUHSC_00226	CP000253.1	245959	246984	+	1026	SAOUHSC_00226	6121
gene-SAOUHSC_00227	CP000253.1	247006	248694	+	1689	SAOUHSC_00227	11985
gene-SAOUHSC_00228	CP000253.1	248727	250451	+	1725	SAOUHSC_00228	20001
gene-SAOUHSC_00229	CP000253.1	250591	251265	+	675	SAOUHSC_00229	1537
gene-SAOUHSC_00230	CP000253.1	251527	253266	+	1740	SAOUHSC_00230	4917
gene-SAOUHSC_00231	CP000253.1	253269	254009	+	741	SAOUHSC_00231	563
gene-SAOUHSC_00232	CP000253.1	254122	254565	+	444	SAOUHSC_00232	341
gene-SAOUHSC_00233	CP000253.1	254558	255259	+	702	SAOUHSC_00233	997
gene-SAOUHSC_00234	CP000253.1	255367	256071	-	705	SAOUHSC_00234	746
gene-SAOUHSC_00235	CP000253.1	256220	257011	+	792	SAOUHSC_00235	154
gene-SAOUHSC_00236	CP000253.1	257027	258463	+	1437	SAOUHSC_00236	233
gene-SAOUHSC_00237	CP000253.1	258896	259657	-	762	SAOUHSC_00237	274
gene-SAOUHSC_00238	CP000253.1	259676	259810	+	135	SAOUHSC_00238	12
gene-SAOUHSC_00239	CP000253.1	259908	260822	-	915	SAOUHSC_00239	1774
gene-SAOUHSC_00240	CP000253.1	260850	261254	-	405	SAOUHSC_00240	745
gene-SAOUHSC_00241	CP000253.1	261269	262150	-	882	SAOUHSC_00241	1443
gene-SAOUHSC_00242	CP000253.1	262382	263380	-	999	SAOUHSC_00242	1821
gene-SAOUHSC_00243	CP000253.1	263531	263710	+	180	SAOUHSC_00243	61
gene-SAOUHSC_00244	CP000253.1	263760	264152	+	393	SAOUHSC_00244	295
gene-SAOUHSC_00245	CP000253.1	264380	264784	+	405	SAOUHSC_00245	369
gene-SAOUHSC_00246	CP000253.1	264825	266201	-	1377	SAOUHSC_00246	1662
gene-SAOUHSC_00247	CP000253.1	266435	267427	+	993	SAOUHSC_00247	604
gene-SAOUHSC_00248	CP000253.1	267753	268703	+	951	SAOUHSC_00248	1092
gene-SAOUHSC_00249	CP000253.1	268755	269414	-	660	SAOUHSC_00249	279
gene-SAOUHSC_00250	CP000253.1	269428	270348	-	921	SAOUHSC_00250	270
gene-SAOUHSC_00251	CP000253.1	270345	271511	-	1167	SAOUHSC_00251	251
gene-SAOUHSC_00253	CP000253.1	271579	273102	-	1524	SAOUHSC_00253	627
gene-SAOUHSC_00254	CP000253.1	273373	274026	+	654	SAOUHSC_00254	82
gene-SAOUHSC_00255	CP000253.1	274060	274647	+	588	SAOUHSC_00255	180
gene-SAOUHSC_00256	CP000253.1	274790	275683	-	894	SAOUHSC_00256	970
gene-SAOUHSC_00257	CP000253.1	275931	276224	+	294	SAOUHSC_00257	2156
gene-SAOUHSC_00258	CP000253.1	276308	279337	+	3030	SAOUHSC_00258	1068
gene-SAOUHSC_00259	CP000253.1	279337	279795	+	459	SAOUHSC_00259	133
gene-SAOUHSC_00260	CP000253.1	279728	280009	+	282	SAOUHSC_00260	27
gene-SAOUHSC_00261	CP000253.1	280022	281356	+	1335	SAOUHSC_00261	144
gene-SAOUHSC_00262	CP000253.1	281378	285817	+	4440	SAOUHSC_00262	849
gene-SAOUHSC_00264	CP000253.1	285847	286239	+	393	SAOUHSC_00264	117
gene-SAOUHSC_00265	CP000253.1	286255	286569	+	315	SAOUHSC_00265	80
gene-SAOUHSC_00266	CP000253.1	286569	287243	+	675	SAOUHSC_00266	102
gene-SAOUHSC_00267	CP000253.1	287243	287560	+	318	SAOUHSC_00267	61
gene-SAOUHSC_00268	CP000253.1	287570	289414	+	1845	SAOUHSC_00268	2703
gene-SAOUHSC_00269	CP000253.1	289425	289916	+	492	SAOUHSC_00269	3182
gene-SAOUHSC_00270	CP000253.1	290124	290807	+	684	SAOUHSC_00270	671
gene-SAOUHSC_00271	CP000253.1	290954	291565	+	612	SAOUHSC_00271	377
gene-SAOUHSC_00272	CP000253.1	291701	291919	+	219	SAOUHSC_00272	435
gene-SAOUHSC_00274	CP000253.1	292051	292551	+	501	SAOUHSC_00274	73
gene-SAOUHSC_00275	CP000253.1	292421	293062	+	642	SAOUHSC_00275	172
gene-SAOUHSC_00276	CP000253.1	293073	293573	+	501	SAOUHSC_00276	157
gene-SAOUHSC_00277	CP000253.1	293584	294084	+	501	SAOUHSC_00277	130
gene-SAOUHSC_00278	CP000253.1	294095	294583	+	489	SAOUHSC_00278	127
gene-SAOUHSC_00279	CP000253.1	295206	295580	+	375	SAOUHSC_00279	569
gene-SAOUHSC_00280	CP000253.1	295733	296131	+	399	SAOUHSC_00280	848
gene-SAOUHSC_00281	CP000253.1	296347	297171	-	825	SAOUHSC_00281	2383
gene-SAOUHSC_00282	CP000253.1	297408	298685	-	1278	SAOUHSC_00282	11706
gene-SAOUHSC_00284	CP000253.1	299299	300189	+	891	SAOUHSC_00284	329
gene-SAOUHSC_A00283	CP000253.1	300206	300439	-	234	SAOUHSC_A00283	5
gene-SAOUHSC_00285	CP000253.1	300438	301487	+	1050	SAOUHSC_00285	6757
gene-SAOUHSC_00287	CP000253.1	301500	302177	+	678	SAOUHSC_00287	6515
gene-SAOUHSC_00289	CP000253.1	302336	302476	-	141	SAOUHSC_00289	1
gene-SAOUHSC_00290	CP000253.1	302466	303416	+	951	SAOUHSC_00290	3722
gene-SAOUHSC_00291	CP000253.1	303759	304877	+	1119	SAOUHSC_00291	461
gene-SAOUHSC_00292	CP000253.1	304852	305775	+	924	SAOUHSC_00292	520
gene-SAOUHSC_00293	CP000253.1	305786	307006	+	1221	SAOUHSC_00293	735
gene-SAOUHSC_00294	CP000253.1	307111	308643	-	1533	SAOUHSC_00294	1676
gene-SAOUHSC_00295	CP000253.1	308683	309564	-	882	SAOUHSC_00295	1508
gene-SAOUHSC_00296	CP000253.1	309722	310582	+	861	SAOUHSC_00296	983
gene-SAOUHSC_00297	CP000253.1	310860	311660	-	801	SAOUHSC_00297	2717
gene-SAOUHSC_00298	CP000253.1	311800	312468	+	669	SAOUHSC_00298	990
gene-SAOUHSC_00299	CP000253.1	312595	313908	-	1314	SAOUHSC_00299	448
gene-SAOUHSC_00300	CP000253.1	314326	316398	+	2073	SAOUHSC_00300	41468
gene-SAOUHSC_00301	CP000253.1	316640	317467	-	828	SAOUHSC_00301	1798
gene-SAOUHSC_00302	CP000253.1	317540	318739	-	1200	SAOUHSC_00302	1421
gene-SAOUHSC_00303	CP000253.1	318835	318927	+	93	SAOUHSC_00303	37
gene-SAOUHSC_00304	CP000253.1	319041	320042	+	1002	SAOUHSC_00304	439
gene-SAOUHSC_00305	CP000253.1	320136	320408	+	273	SAOUHSC_00305	137
gene-SAOUHSC_00306	CP000253.1	320409	321209	+	801	SAOUHSC_00306	359
gene-SAOUHSC_00307	CP000253.1	321199	322143	+	945	SAOUHSC_00307	387
gene-SAOUHSC_00308	CP000253.1	322121	323143	+	1023	SAOUHSC_00308	437
gene-SAOUHSC_00309	CP000253.1	323458	324483	+	1026	SAOUHSC_00309	7816
gene-SAOUHSC_00310	CP000253.1	324576	325922	-	1347	SAOUHSC_00310	2131
gene-SAOUHSC_00311	CP000253.1	325937	326221	-	285	SAOUHSC_00311	417
gene-SAOUHSC_00312	CP000253.1	326223	326666	-	444	SAOUHSC_00312	726
gene-SAOUHSC_00313	CP000253.1	326671	328626	-	1956	SAOUHSC_00313	5591
gene-SAOUHSC_00314	CP000253.1	328838	329257	+	420	SAOUHSC_00314	3986
gene-SAOUHSC_00315	CP000253.1	329364	330719	+	1356	SAOUHSC_00315	560
gene-SAOUHSC_00316	CP000253.1	330823	331263	+	441	SAOUHSC_00316	342
gene-SAOUHSC_00317	CP000253.1	331346	332704	-	1359	SAOUHSC_00317	3805
gene-SAOUHSC_00318	CP000253.1	333012	333938	+	927	SAOUHSC_00318	1275
gene-SAOUHSC_00319	CP000253.1	333952	335013	+	1062	SAOUHSC_00319	2366
gene-SAOUHSC_00320	CP000253.1	335027	335593	+	567	SAOUHSC_00320	1212
